Algorithm,Input Type,Size,Time (seconds)
Deterministic,Random,100,0.00011240007976690929
Randomized,Random,100,0.0001647999742999673
Deterministic,Sorted,100,0.00046326670174797374
Randomized,Sorted,100,0.00014486664440482855
Deterministic,Reverse,100,0.0004249333093563716
Randomized,Reverse,100,0.00015153332302967706
Deterministic,Repeated,100,0.00015749999632438025
Randomized,Repeated,100,4.813331179320812e-05
Deterministic,Random,300,0.00041303337396432954
Randomized,Random,300,0.0005699333269149065
Deterministic,Sorted,300,0.00393459996363769
Randomized,Sorted,300,0.0005469666793942451
Deterministic,Reverse,300,0.0035142666505028806
Randomized,Reverse,300,0.0004577333650862177
Deterministic,Repeated,300,0.0006049666553735733
Randomized,Repeated,300,0.00013713332979629436
Deterministic,Random,500,0.0006429667118936777
Randomized,Random,500,0.0009062999937062463
Deterministic,Sorted,500,0.009292366642815372
Randomized,Sorted,500,0.0012136666337028146
Deterministic,Reverse,500,0.016097333398647606
Randomized,Reverse,500,0.0019462000345811248
Deterministic,Repeated,500,0.005001933275101085
Randomized,Repeated,500,0.0009179332992061973
Deterministic,Random,1000,0.004673633336399992
Randomized,Random,1000,0.004500200001833339
Deterministic,Sorted,1000,0.05682230003488561
Randomized,Sorted,1000,0.0021137333242222667
Deterministic,Reverse,1000,0.0482904666957135
Randomized,Reverse,1000,0.0019856999861076474
Deterministic,Repeated,1000,0.006126566634823878
Randomized,Repeated,1000,0.00035866672017922
